;MAT;SALDO;CREDITO;DEBITO;PAGAR;BANCO
jan/26;399;0;0;0;0;0
jan/26;409;0;0;0;0;0
jan/26;422;0;0;0;0;0
jan/26;624;0;0;0;0;0
jan/26;657;0;0;0;0;0
jan/26;802;0;0,433333333;1,75;0,216666667;-1,533333333
jan/26;1028;0,708333333;7,116666667;9,066666667;3,558333333;-4,8
jan/26;1054;12,5;26;0;25,5;13
jan/26;1091;0;0;0;0;0
jan/26;1227;0,125;0;0;0,125;0
jan/26;1274;0;0,466666667;4,033333333;0,233333333;-3,8
jan/26;1352;0;17,21666667;4;8,608333333;4,608333333
jan/26;1461;0,716666667;5,15;4,733333333;2,575;-1,441666667
jan/26;1489;16,61666667;39,28333333;0;36,25833333;19,64166667
jan/26;1540;0;2,883333333;4,616666667;1,441666667;-3,175
jan/26;1579;0;0;0;0;0
jan/26;1580;14,28333333;34,26666667;0,283333333;31,13333333;17,13333333
jan/26;1842;9,366666667;21,6;0;20,16666667;10,8
jan/26;2113;12,78333333;25,61666667;1,95;23,64166667;12,80833333
jan/26;2133;0;0;0;0;0
jan/26;2240;0;0;0,283333333;0;-0,283333333
jan/26;2249;15,34166667;32,25;2,816666667;28,65;16,125
jan/26;2401;0;0,583333333;0,183333333;0,291666667;0,108333333
jan/26;2406;0;0;1,4;0;-1,4
jan/26;2456;15,95;34,2;0;33,05;17,1
jan/26;2571;0;0;0;0;0
jan/26;2602;0;0;0;0;0
jan/26;2619;0;0,633333333;5,033333333;0,316666667;-4,716666667
jan/26;2649;0;0;0;0;0
jan/26;2662;0;0;1,616666667;0;-1,616666667
jan/26;2687;0;0;0;0;0
jan/26;2693;0;6,016666667;5,75;3,008333333;-2,741666667
jan/26;2697;0;0;0;0;0
jan/26;2704;0;0;0;0;0
jan/26;2731;0;0;1,266666667;0;-1,266666667
jan/26;2733;0;0;0;0;0
jan/26;2739;0;0;0;0;0
jan/26;2743;0;0;0;0;0
jan/26;2754;0;0;0;0;0
jan/26;2755;0;0;0;0;0
jan/26;2762;0;1,133333333;0,75;0,566666667;-0,183333333
jan/26;2796;0;4,3;0,2;2,15;1,95
jan/26;2823;0;0;0;0;0
jan/26;2837;0;0;2,516666667;0;-2,516666667
jan/26;2857;5,808333333;31,68333333;3,25;18,4;15,84166667
jan/26;2883;18,51666667;35,06666667;1,283333333;34,76666667;17,53333333
jan/26;2926;0;0;0;0;0
jan/26;2931;3,666666667;4,083333333;5,116666667;2,041666667;0,591666667
jan/26;2975;12,36666667;27,6;0;26,16666667;13,8
jan/26;2990;0;0;0;0;0
jan/26;2991;0;2,683333333;2,883333333;1,341666667;-1,541666667
jan/26;3005;0;3,816666667;5,166666667;1,908333333;-3,258333333
jan/26;3022;0;2,9;0,2;1,45;1,25
jan/26;3033;0;1,533333333;2,516666667;0,766666667;-1,75
jan/26;3037;0;0;0;0;0
jan/26;3038;0;0;2;0;-2
jan/26;3039;0;0;0;0;0
jan/26;3040;0;0;3,883333333;0;-3,883333333
jan/26;3106;0;0;4;0;-4
jan/26;3107;3;10,45;5,033333333;5,225;3,191666667
jan/26;3178;2,333333333;3,1;0;3,883333333;1,55
jan/26;3208;2,183333333;13,63333333;0;9;6,816666667
jan/26;3233;6,775;7,933333333;0;10,74166667;3,966666667
jan/26;3238;6,541666667;18,73333333;2,3;13,60833333;9,366666667
jan/26;3240;0;1,066666667;0;0,533333333;0,533333333
jan/26;3254;0;0;3,333333333;0;-3,333333333
jan/26;3256;0;4,316666667;2,983333333;2,158333333;-0,825
jan/26;3261;2,416666667;14,38333333;1,166666667;8,441666667;7,191666667
jan/26;3265;0;0;4,816666667;0;-4,816666667
jan/26;3266;0;0;0;0;0
jan/26;3274;6,158333333;15,33333333;10,5;7,666666667;3,325
jan/26;3278;0;0;0;0;0
jan/26;3280;6,7;26,2;2,816666667;16,98333333;13,1
jan/26;3325;1,483333333;7,983333333;0,183333333;5,291666667;3,991666667
jan/26;3328;0;0,216666667;1,616666667;0,108333333;-1,508333333
jan/26;3330;3,725;3,883333333;0;5,666666667;1,941666667
jan/26;3335;0;0;3,116666667;0;-3,116666667
jan/26;3345;0;0;0;0;0
jan/26;3346;0;0,583333333;2,016666667;0,291666667;-1,725
jan/26;3351;0;0;0;0;0
jan/26;3353;9,525;3,566666667;2,45;8,858333333;1,783333333
jan/26;3374;0,716666667;2,916666667;1,2;1,458333333;0,975
jan/26;3377;0;19;8,433333333;9,5;1,066666667
jan/26;3385;12,68333333;24,31666667;0;24,84166667;12,15833333
jan/26;3386;12,50833333;26,16666667;0;25,59166667;13,08333333
jan/26;3387;16,73333333;10,35;9,533333333;12,375;5,175
jan/26;3392;0;1,166666667;5,933333333;0,583333333;-5,35
jan/26;3397;0;0;0;0;0
jan/26;3401;5,575;14,9;0,316666667;12,70833333;7,45
jan/26;3403;0;12,8;4,65;6,4;1,75
jan/26;3405;0;10,8;1,55;5,4;3,85
jan/26;3409;7,025;4,75;0;9,4;2,375
jan/26;3417;;0;0;0;0
jan/26;3418;0;0,666666667;0;0,333333333;0,333333333
jan/26;3419;5,216666667;1,183333333;0;5,808333333;0,591666667
jan/26;3435;0;0,183333333;7,183333333;0,091666667;-7,091666667
jan/26;3437;0;0;14,48333333;0;-14,48333333
jan/26;3441;1,525;16,06666667;0;9,558333333;8,033333333
jan/26;3443;3,35;5,016666667;0,2;5,658333333;2,508333333
jan/26;3454;0;0;0;0;0
jan/26;3460;0;0;0;0;0
jan/26;3462;0;0;11,01666667;0;-11,01666667
jan/26;3465;0;0,216666667;12,43333333;0,108333333;-12,325
jan/26;3466;0;3,583333333;12,18333333;1,791666667;-10,39166667
jan/26;3469;0;3,733333333;8,916666667;1,866666667;-7,05
jan/26;3470;0;0,966666667;9,6;0,483333333;-9,116666667
jan/26;3472;19,75;42,5;0;41;21,25
jan/26;3475;0;0;4,55;0;-4,55
jan/26;3476;0;0;4,483333333;0;-4,483333333
jan/26;3477;0;0;5,316666667;0;-5,316666667
jan/26;3478;0;0;0,6;0;-0,6
jan/26;3479;0,641666667;6,283333333;5,8;3,141666667;-2,016666667
jan/26;3480;8,566666667;30,38333333;0;23,75833333;15,19166667
jan/26;3482;0;0;0,433333333;0;-0,433333333
jan/26;3483;0;0;0;0;0
jan/26;3484;0;2,45;7,083333333;1,225;-5,858333333
jan/26;3485;1,858333333;3,8;3,95;1,9;-0,191666667
jan/26;3490;0;0;3,4;0;-3,4
jan/26;3491;0;0,183333333;5,616666667;0,091666667;-5,525
jan/26;3492;0;1,4;0;0,7;0,7
